Sample,Center,Passage,Amelogenin,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA,Penta E,Penta D
TM00914,JAX,P1,X,12,"8,12",11,"15,17","14.2,15.2",32.2,"16,21",18,"10,13","8,10",15,24,6,"8,9","17,18",,
TM00916,JAX,P0,X,12,"8,12",11,"15,17","14.2,15.2","29,32.2","16,21",18,"10,13","8,10",15,24,6,"8,9","17,18",,
TM00920,JAX,P1,X,"11,12","11,13",11,16,"14,15","29,30","19,21","11,17","10,11","10,11","10,13",23,9.3,"8,11","14,15",,
TM00921,JAX,P0,"X,Y",11,12,"11,13",13,18,29,"22,23",15,13,"10,12","12,15","21,25","9,9.3","8,12",17,,
TM00926,JAX,P0,"X,Y","11,13","8,9","9,12","12,18","10,11,13,14","33,33.2","18,21","17,18","11,15","10,12","12,13,14","21,24","7,9.3",8,"16,17",,
TM00927,JAX,P0,X,"9,10","10,12",12,"12,15","13,15","29,31","17,20",18,"10,11","9,10",10,"19,21","6,9","8,10","17,18",,
TM00928,JAX,P0,X,12,11,"10,12",16,"12,14","30,32.2",24,"14,17",13,"12,13","10,12","22,23","7,9.3","8,9",17,,
TM00929,JAX,P0,"X,Y",12,12,"11,13",17,"12,16",29,"24,26",17,11,10,"12,13","20,22",10,8,"15,18",,
TM00930,JAX,P2,"X,Y",10,"10,11",13,"13,14","13,16",30,19,19,13,11,9,21,"6,9",8,17,,
TM00931,JAX,P0,X,12,"10,13","11,12","12,18","15,15.2",30,18,16,13,"9,11",13,"18,20",8,"8,10","14,17",,
TM00939,JAX,P0,X,12,12,"11,12",14,"13,14.2",28,,16,13,"9,11","13,14",27,9.3,"8,11",17,,
TM00943,JAX,P0,"X,Y","11,12",9,"9,12","15,16","13.2,14.2",30,"16,18","16,17","11,12","10,12","13,14","20,23",6,"6,11","18,19",,
TM00945,JAX,P0,X,"10,12","8,12","10,12",16,15,28,20,"15,16",12,11,"13,14",21,8,10,"16,19",,
TM00964,JAX,P0,X,"11,12","8,13","9,12",14,"16,16.2","30,31.2","18,19",18,"7,13","11,12",13,"21,23","6,9.3","8,10",16,,
TM00977,JAX,P0,"X,Y",10,12,11,"14,18","14,16.2","29,31.2","18,19",17,12,"11,12",15,21,9,"8,11",17,,
TM00980,JAX,P0,X,"11,12","11,12",12,13,"13,17","30,31.2","20,26",17,"9,12","8,11","13,14",20,"6,9.3",8,"18,19",,
TM00991,JAX,P1,X,11,11,12,"12,14","13,15","31.2,33.2","17,23","14,15",12,"8,9","14,15","20,21","6,9.3",9,"15,16",,
TM00993,JAX,P0,X,11,11,12,"12,14","13,15","31.2,33.2","17,23","14,15",12,"8,9","14,15","20,21","6,9.3",9,"15,16",,
TM00999,JAX,P2,X,10,11,12,14,13,"29,32","19,23",15,13,"12,13","12,14",21,9,8,"17,18",,
TM01002,JAX,P1,"X,Y",,"11,12","9,11",16,"14,15",28,"17,20","16,17",11,",","11,13","24,26","8,10","9,11","16,17",,
TM01007,JAX,P0,X,"10,11","11,12",11,"15,17","12,14","30,31.2","17,19",16,12,"8,11","12,14","21,25","7,9.3",8,"17,18",,
TM01014,JAX,P0,X,"11,12","8,10","11,13",14,"13,14","29,29.2",25,"17,18","11,13","10,13",10,"20,23","6,9.3",11,"16,17",,
TM01029,JAX,P0,"X,Y",12,12,11,12,"14,16",30.2,18,15,"12,13","11,13",12,20,"6,9.3","8,11",17,,
TM01030,JAX,P0,"X,Y",12,"8,12","10,11","13,16","12,13","28,30","16,17",17,12,"9,10","10,14","22,23","6,9.3","8,11","16,19",,
TM01031,JAX,P0,X,"10,11",11,"12,13",14,14,"29,34.2","17,19",16,"11,12","10,12","12,14",25,8,8,"16,17",,
TM01032,JAX,P0,"X,Y",13,"9,11",10,"13,15","13,13.2","29,30.2","25,27","16,18",12,10,13,"23,24",7,8,16,,
TM01039,JAX,P0,X,"10,11","11,14","11,12","12,21","15,15.2","28,31.2","19,23",17,11,"8,10","12,14","20,22","6,9.3","8,9","16,18",,
TM01044,JAX,P0,X,12,"11,12",9,"15,16","13,14",30,19,16,"11,12",12,"11,15",21,7,11,"17,18",,
TM01048,JAX,P0,X,10,12,"11,13","13,16","13,14",28,"20,24",19,13,10,"14,15","22,23","6,9.3","8,11",18,,
TM01053,JAX,P0,"X,Y",10,"9,11",12,"12,20","13,15","29,30","17,20","13,17",12,"10,12",17,"20,21","7,9.3","8,11","14,17",,
TM01075,JAX,P0,"X,Y",12,"9,12","9,13",16,14,"24.2,32.2","17,19","14,18",11,"10,12","11,13","22,23","8,9","10,11","14,18",,
TM01076,JAX,P1,"X,Y",12,"9,12","9,13",16,14,"24.2,32.2","17,19","14,18",11,"10,12","11,13","22,23","8,9","10,11","14,18",,
TM01079,JAX,P2,X,11,"11,12","9,11","15,17","13,14",29,20,17,11,"10,12","12,14",24,"6,9.3",8,17,,
TM01081,JAX,P3,X,11,"11,12","9,11","15,17","13,14",29,"19,23","16,17","11,14","10,12","12,14","21,24","6,9.3",8,17,,
TM01085,JAX,P0,X,11,"11,12",8,"13,14","12,15.2","28,32","20,23","16,17","11,12","8,11","12,15","20,23","6,7",9,15,,
TM01086,JAX,P0,X,"11,12",12,"9,14","13,18",12,30,25,16,11,11,"13,14",23,9.3,"8,12",16,,
TM01087,JAX,P0,"X,Y",10,"9,11","9,12",12,"15,15.2","28,31.2","20,26","15,16","11,12","8,10","11,14",25,"6,7","9,12","16,17",,
TM01096,JAX,P0,"X,Y","10,12","9,14","11,12",15,"11,13","28,29","19,24",15,"12,13",11,"12,15","20,24","6,7",11,"16,17",,
TM01098,JAX,P0,"X,Y","10,12","9,14","11,12",15,"11,13","28,29","19,24",15,"12,13",11,"12,15","20,24","6,7",11,"16,17",,
TM01100,JAX,P0,"X,Y","11,12","11,13","12,13","13,15","10,13","27,31","16,24","14,15","10,13","10,11","11,12","19,20","7,9.3",8,,,
TM01117,JAX,P0,X,"9,12",11,11,14,"14,15",29,17,16,"11,12",10,12,21,9.3,8,"17,18",,
TM01119,JAX,P0,X,"10,12","11,13",14,"10,15","14,15","30,33.2",16,"15,16","10,12","7,12","12,13",24,"6,7",8,18,,
TM01120,JAX,P0,X,"11,13","8,11","11,12",18,"13,14",31,"19,22",18,"8,12","10,11",10,20,"8,9.3","8,11","16,18",,
TM01121,JAX,P0,X,"11,13",9,9,13,"12,17",31.2,"17,20",15,11,10,15,"21,24",10,"6,9",16,,
TM01125,JAX,P1,"X,Y",12,11,11,16,15,30,25,"16,18",12,9,"12,13","19,21",7,11,"17,18",,
TM01130,JAX,P0,X,"10,14","8,13","11,13","18,20","11,13","27,30","17,23",13,"14,15","9,10","14,16","20,21","8,10","9,11","18,21",,
TM01133,JAX,P1,X,11,"8,13","9,12",12,"14,15","30,32.2","17,24","15,17",12,11,12,"22,23","9,9.3","8,11","17,18",,
TM01137,JAX,P0,X,"11,12",11,"11,12","15,20","13,14","29,30","17,21","17,18","11,12",10,14,"21,22","8,9.3",8,"15,16",,
TM01141,JAX,P0,X,11,13,"11,12",16,"13,16",29,"17,20",17,12,9,"14,15","22,23",9.3,"8,9",14,,
TM01144,JAX,P0,"X,Y",11,"12,13","8,9,10,11","16,17,19","13,15","28,33.2","17,21","19,20","10,14","8,10","14,15","19,20","8,10","8,11","18,19",,
TM01145,JAX,P0,"X,Y","10,11","8,13",11,"12,13","14,16.2","29,30",20,"14,15",12,"7,8","10,13","21,25","6,9.3",8,"17,19",,
TM01148,JAX,P1,X,"11,12","8,11","10,13",16,"13,15",30,"16,25",16,"12,13","10,11","13,14",21,6,"9,11","16,17",,
TM01149,JAX,P0,X,13,"10,13",11,12,"15,15.2","27,29","20,24","14,15","12,13",10,13,"23,24","6,9.3","8,9",14,,
TM01155,JAX,P0,X,10,12,12,"14,16","14,16","28,29","17,24",17,"11,13","10,11",13,23,"8,9.3",8,"17,20",,
TM01160,JAX,P0,"X,Y",12,11,"11,12","15,21","13,14",27,"16,20",18,"11,12","9,10",14,20,10,8,"17,20",,
TM01165,JAX,P1,X,"12,13","9,11","12,13","12,19","13,14","26,30","18,24","15,17","11,13","9,10","13,14","22.2,23","8,9.3","8,9","15,17",,
TM01168,JAX,P0,X,11,"11,12",11,"13,15","13.2,",29,"23,25","15,16","12,13","8,10","13,14",24,"7,8",8,"15,16",,
TM01171,JAX,P0,X,11,"11,12",11,13,"13.2,",29,"23,25","15,16","12,13","8,10","13,14",24,"7,8",8,"15,16",,
TM01173,JAX,P1,X,"11,12",11,"11,13",15,"12,13,15",31,19,15,"10,12","8,11","13,15",20,"8,9.3",8,"17,18",,
TM01197,JAX,P0,X,11,11,"11,13","14,18",13,"28,30","17,22","14,18","11,13","10,12","14,15","23,25","7,9.3","8,9","16,18",,
TM01212,JAX,P0,X,,"10,12",12,17,"15,16.2",28,19,"16,17","11,12","9,10","13,14","20,22","6,9.3","9,12","14,15",,
TM01215,JAX,P0,X,"8,10","9,11","12,13",15,"14,15","29,30",17,"16,18","11,12","10,12","10,13","23,24",7,8,"16,18",,
TM01220,JAX,P1,X,"11,12","12,13","10,12","11,14","14,15","27,28","17,20","14,15","11,12","8,12","10,12","20,23","6,9.3","10,11","14,16",,
TM01225,JAX,P1,"X,Y","12,13","11,12",11,13,"13,15.2",29,"19,23",15,"11,13","10,12","12,13",23,"6,9",8,"16,17",,
TM01231,JAX,P0,"X,Y","11,12","12,14","9,13",18,"11,13","30,31","18,24","17,18","11,13","8,12","11,13",22,"7,8","8,11","16,18",,
TM01234,JAX,P0,X,"8,10","12,13","9,11",16,13,"28,30","20,25","15,17","8,11","8,9","12,13","23,24",8,8,"18,19",,
TM01237,JAX,P0,X,12,"8,9","9,12",12,"13,14","28,32.2","16,24","14,17",11,10,"12,14","20,21",8,"8,12","16,17",,
TM01239,JAX,P0,"X,Y","10,12","8,11",13,12,"13,15","31.2,32.2",18,18,12,9,12,21,"8,10","8,11",18,,
TM01243,JAX,P1,X,10,8,"9,11","16,18","13,15",30,21,15,12,"10,11",12,25,6,"8,10","15,18",,
TM01244,JAX,P0,X,"10,11","9,12",11,13,"14,16.2","28,29","17,20","15,16",11,"10,11","13,15","19,20","7,9.3","8,11",16,,
TM01245,JAX,P1,X,"10,12","8,10",12,14,"12,15",30,"17,18",15,12,"8,9","8,11",20,9.3,"8,11","14,18",,
TM01258,JAX,P0,X,11,"10,13","11,12",16,"10.2,15","30,32.2","19,20","15,16",11,13,13,"23,25",6,8,"14,15",,
TM01263,JAX,P1,"X,Y","11,14","10,14","9,10","15,17","14,14.2",32.2,"25,27","15,17","9,11",12,"15,17","22,23","7,9.3","8,11","14,17",,
TM01264,JAX,P0,X,10,"8,11","10,11","13,16","14,15","29,30","16,24","15,16",13,"7,12","10,15","23,24","7,9.3",8,14,,
TM01267,JAX,P1,"X,Y",12,12,11,"12,17",12,28,21,17,"10,11","8,11","10,14","19,24","7,8","8,11","15,17",,
TM01273,JAX,P2,X,10,12,9,"16,17",14,28,"17,19",17,"7,13",11,"10,14",24,7,8,"16,18",,
TM01278,JAX,P0,X,11,11,12,13,"13,14","30,31.2","19,22",15,11,"9,12","18,",26,7,"9,11","16,18",,
TM01284,JAX,P1,X,"10,11",11,"11,13","14,17","15,15.2","29,30",19,17,"8,13",13,"13,15","23,25","8,10","10,11","17,20",,
TM01302,JAX,P1,X,"10,12",10,13,14,13,28,18,14,"11,13","8,12","13,14",21,9.3,8,"16,17",,
TM01303,JAX,P0,"X,Y",10,9,11,"15,19","14,15",31.2,16,"16,19",9,"8,12",14,"23,24",8,12,16,,
TM01311,JAX,P0,X,"9,10",11,"9,11","13,14","14.2,15","29,30",19,"15,18","9,12","8,9",14,24,9.3,8,"15,16",,
TM01325,JAX,P0,X,"10,11","8,12","9,11","12,15","13,16","28,30","18,21",15,"12,13","8,9","11,15","16,19",9.3,11,17,,
TM01328,JAX,P0,"X,Y",13,"9,11",10,"13,15","13,13.2","29,30.2","25,27","16,18",12,10,13,"23,24",7,8,16,,
TM01339,JAX,P0,X,"13,14","9,11",12,"14,15","12,13.2","28,32.2","21,22","15,16",12,"9,11","12,14","22,24",9,"9,11","15,17",,
TM01340,JAX,P0,X,12,"10,13","12,13",13,"13,14",30,"17,25","15,17",11,"9,12",14,"20,23","7,9","8,9",15,,
TM01341,JAX,P0,"X,Y","11,13","11,12","11,12","18,20",14,"30,33.2","17,23","14,16","10,12","9,10","12,13","22,25",6,"8,11","17,18",,
TM01344,JAX,P1,"X,Y",10,"11,12","9,11","13,14",13,"30,31.2","17,19","15,16",12,10,"10,13","21,26","7,9.3",9,"17,20",,
TM01346,JAX,P1,X,13,"12,13","11,12","13,14","14,15",30,"19,20","16,18",11,"8,11","10,11","22,23",6,8,"15,17",,
TM01348,JAX,P0,X,10,12,11,"10,12",14,"30,31.2","16,24","14,16",11,10,"8,12",19,6,"9,11",16,,
TM01353,JAX,P1,"X,Y","10,12","9,12",11,19,"13,15",30,20,15,"11,12","10,12",12,20,"6,9.3","8,11","15,18",,
TM01354,JAX,P0,"X,Y","10,12",11,12,18,"14,15","31,31.2","18,23","16,18",11,10,"10,12","18,26","9,9.3","9,11","16,17",,
TM01355,JAX,P1,"X,Y",",","12,13","8,12",16,14,",",",",16,"10,12",",",14,"21,25","7,9","8,9","14,21",,
TM01357,JAX,P0,X,11,9,13,"17,18",14,29,"17,23",14,"10,12","8,12",13,"22,22.2",6,8,15,,
TM01360,JAX,P0,"X,Y","10,12","8,13",12,17,"15,15.2","27,30.2","19,20",16,"9,10",11,"10,13","20,21",6,"8,11","16,18",,
TM01373,JAX,P0,X,12,12,13,"16,18",14,33.2,17,16,11,"8,11",15,25,8,"10,11","15,16",,
TM01381,JAX,P0,X,"10,12",11,"9,11","12,18","12,16.2","29,31.2","25,26",16,"11,12","10,12","11,13","19,20","9,9.3","8,10","14,17",,
TM01386,JAX,P0,Y,,13,11,14,"12,15","27,29.2","17,23",16,"10,12",8,"11,13","23,24","6,9","8,12","17,19",,
TM01391,JAX,P0,X,"11,12",9,"11,12","15,18","15,16","30,33.2","19,23","14,15","11,12","8,12","13,14","22,26","6,9.3",8,"16,17",,
TM01400,JAX,P0,X,"11,12","11,12","10,11",18,13,"30,32.2","19,25","15,16","9,11","7,10","12,13","20,24","6,7",8,17,,
TM01401,JAX,P0,"X,Y",10,12,"12,13",13,"14,15","31.2,33.2",20,"16,17","11,12",11,"14,15","18,22",6,"8,11",18,,
TM01404,JAX,P0,X,10,"9,12","11,13","16,17","12,13","30,33.2","17,23","14,16","12,13","10,11","13,14","21,25",6,"9,11",17,,
TM01406,JAX,P0,X,"11,12",11,10,"12,16",14,"30,32.2",17,15,"9,12",11,13,19,7,"8,9","14,17",,
TM01420,JAX,P0,"X,Y",",",13,",",14,15.2,",",23,"14,18",12,",","10,14","21,23","6,9.3",8,",",,
TM01423,JAX,P0,X,"10,11",11,"9,11","15,16","14,15",28,"16,21",16,"11,12","8,10",13,"24,25","7,9.3",8,"17,19",,
TM01426,JAX,P0,X,12,8,9,"13,17","14,15",30,17,17,12,10,"12,13","19,22","7,9",11,"14,17",,
TM01427,JAX,P0,"X,Y","11,12","11,12","10,11",16,"13,15",30,"17,20",18,"11,12","9,13","12,14",22,"9,9.3","9,11","15,19",,
TM01441,JAX,P0,X,11,"11,12",11,"13,16","13,14",29,"19,25","16,17",13,"10,13","11,13","22,24",8,"8,11","14,18",,
TM01442,JAX,P0,"X,Y",11,"11,12",11,"13,16","13,14","29,30","19,25","16,17",13,"10,13","11,13","22,24",8,"8,11",18,,
TM01443,JAX,P0,"X,Y",10,"13,14",12,"14,17","12,16","29,32.2","17,18",17,12,11,"10,13","20,21",6,"9,12","17,19",,
TM01446,JAX,P1,"X,Y",10,8,13,13,"13,16.2",29,26,17,12,"7,12","15,16",24,"9,9.3","8,9",16,,
TM01448,JAX,P0,X,11,"9,12","13,14",22,"13,15.2",28,"24,25",17,12,"9,10","10,15","21,23",7,"8,9","15,18",,
TM01457,JAX,P0,X,11,8,"9,11","17,18","12,14","29,32.2","24,25",16,"12,17",12,11,24,7,"8,11","18,19",,
TM01462,JAX,P0,"X,Y","10,12","12,14","9,12","12,17","14.2,",28,"20,23",17,12,"8,11","13,15","22,23","7,8","8,11","11,15",,
TM01464,JAX,P0,"X,Y","10,11","10,11",9,14,13,32.2,"24,25",15,"12,13","10,12",14,"20,23","7,9.3","8,9",19,,
TM01476,JAX,P0,X,",",12,8,14,16,"30,30.2",",",18,12,"7,10","13,14","20,21","7,9.3",8,16,,
TM01479,JAX,P0,"X,Y",12,"11,12","10,12",15,"12,16","29,31","17,18","16,17","11,12","11,13","11,13","20,26","6,9.3","8,11","17,18",,
TM01495,JAX,P0,X,"10,11","11,12","11,14",18,"12,15","29,30","17,24","16,17","11,12","10,12",13,"21,22","6,8",8,"17,19",,
TM01498,JAX,P0,X,"10,11",12,"12,13","11,13",14,"29,31","22,23",16,"10,12","8,10","9,10",19,9.3,"8,11",17,,
TM01500,JAX,P0,X,"10,12","10,12",11,15,"13,14.2,15.2","30,32.2",24,14,"9,13","8,10","11,12","21,24","6,9","9,10","17,18",,
TM01509,JAX,P0,"X,Y",,11,14,"17,20","13,16",30,"18,24","16,17","12,13",11,12,"22,24",10,"8,11",14,,
TM01510,JAX,P1,X,"11,12",12,9,"13,16",15.2,30,20,"17,18","10,12","8,9","12,14","22,23","9,9.3",8,18,,
TM01513,JAX,P0,"X,Y",11,13,"12,13",16,"13,16","28,32.2","17,25",18,12,"10,11","10,13",20,"6,9.3","11,12","17,18",,
TM01517,JAX,P0,"X,Y",11,13,9,10.2,"11,12","32.2,35","16,24","13,15",12,"10,11","13,16","23,27","7,8","9,10","15,17",,
TM01522,JAX,P1,"X,Y",12,"11,12",12,"13,15","13,14","29,32.2",",",17,11,"8,12",13,"23,24",8,"8,11",17,,
TM01533,JAX,P0,"X,Y",11,12,"8,13","15,22","13,14","27,30","18,24",16,10,"7,10","13,16",23,7,"10,12","17,18",,
TM01545,JAX,P0,X,"11,12","9,10","10,12",14,"13,14",27,25,15,"10,11","8,11","13,14","21,22",6,"9,11",16,,
TM01552,JAX,P0,X,"10,11",12,12,15,"13,15","30,32.2","16,23",15,"10,13",11,10,"22,24","6,9",8,18,,
TM01555,JAX,P1,X,"10,11",11,"9,11","13,15",13,30,"18,24",17,"12,13",12,"13,14",19,"9,10","8,11","15,18",,
TM01557,JAX,P0,X,11,"11,12","12,13","17,18",13,"28,31.2","17,18","16,17","11,","8,12","13,16","20,25","7,9","9,11","18,19",,
TM01563,JAX,P0,X,14,12,11,12,14,29,19,16,13,10,"10,12",21,9.3,8,14,,
TM01565,JAX,P0,X,12,"10,14",11,"16,18","12,17","30,31.2","19,23","16,17","11,13",10,"10,14","23,24","6,9.3","9,12","14,16",,
TM01569,JAX,P0,"X,Y",11,"10,12",11,"14,17",12.2,"29,32.2",19,15,12,12,13,26,7,8,17,,
TM01571,JAX,P0,"X,Y",11,"12,13",13,"13,15","13,15",27,24,"15,16",11,11,14,24,"7,9.3",8,"17,18",,
TM01576,JAX,P0,X,13,"11,13",13,18,"14,15",30,25,17,11,"8,11","11,16",22,9.3,11,"18,19",,
TM01578,JAX,P0,X,"10,12","10,12","11,13",15,"13,14.2,15.2","30,32.2","19,24",14,"9,13","8,10","11,12","21,24","6,9","9,10","17,18",,
TM01594,JAX,P2,"X,Y",12,"11,12","11,12","16,17","13,14","28,34","17,21","14,16","8,12","10,14","8,13","22,26","7,9.3","8,12","14,19",,
TM01611,JAX,P0,"X,Y","11,12",11,11,"14,17",14,29,,"15,17","11,13","9,11",14,24.2,"6,7",8,"14,18",,
TM01612,JAX,P0,X,"9,11","9,12","12,13",12,13,"29.2,31",22,18,"11,12","9,10","10,14","20,21",9.3,"8,11",14,,
TM01615,JAX,P0,X,"10,11","9,12",11,13,"14,16.2","28,29","17,20","15,16",11,"10,11",15,"19,20","7,9.3","8,11",16,,
TM01616,JAX,P0,"X,Y",8,"12,14","9,11",15,"14,15","29,30","17,24","16,17","11,13","8,11","11,13","19,22","7,9","8,11",19,,
TM01617,JAX,P0,"X,Y","8,10","9,14","9,11","13,15","14,15","29,30","17,24","16,17","11,13","8,11","11,13","19,22","7,9","8,11",19,,
TM01619,JAX,P0,"X,Y","8,10","9,14","9,11","13,15","14,15","29,30","17,24","16,17","11,13","8,11","11,13","19,22","7,9","8,11",19,,
TM01628,JAX,P0,"X,Y",11,9,9,"13,15","14,16",30,20,18,"10,12","8,11",10,"21,24","8,9",11,"16,17",,
TM01629,JAX,P1,X,"10,11","9,12",11,13,"14,16.2","28,29","17,20","15,16",11,"10,11","13,15","19,20","7,9.3","8,11",16,,
TM01632,JAX,P1,"X,Y","11,12",11,"9,11","15,17",13,28,"16,20","15,16","12,13","7,10","13,15","21,24",9.3,"9,11","14,16,17",,
TM01634,JAX,P0,"X,Y","10,11","12,13",11,13,"12,13","30,31",17,"15,17","8,11",12,"14,16","21,22","7,8",8,"14,17",,